order_date,shipment_number,bill_to_code,from_site_code,from_site_name,to_site_code,to_site_name,pickup_date,delivery_due_date,price,cost,cost1,cost2,cost3,cost4,delivered_flag,service_flag,margin,order_date_raw,pickup_date_raw,delivery_due_date_raw
2016-01-04,19484.000000,1424.000000,4315.000000,CFF STAINLESS STEEL,1424.000000,CAPMATIC,2016-01-04,2016-01-04,0.0,0.0,0.0,0.0,,0.0,,,0.0,20160104.000000,20160104.000000,20160104.000000
2016-01-05,19485.000000,1424.000000,4192.000000,SUPERIOR ALLOY,1424.000000,CAPMATIC,2016-01-06,2016-01-06,0.0,0.0,0.0,0.0,,0.0,,,0.0,20160105.000000,20160106.000000,20160106.000000
2016-01-06,19486.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,5256.000000,SONE ROCKWELL WHRS,2016-01-07,2016-01-11,0.0,0.0,0.0,0.0,,0.0,,,0.0,20160106.000000,20160107.000000,20160111.000000
2016-01-06,19487.000000,4948.000000,4948.000000,THEATRIXX TECHNOLOGIES,5536.000000,LMG ORLANDO,2016-01-06,2016-01-11,0.0,0.0,0.0,0.0,,0.0,,,0.0,20160106.000000,20160106.000000,20160111.000000
2016-01-07,19488.000000,1424.000000,5145.000000,REVETEMENTS ILLUSION,4759.000000,AIF INOX,2016-01-07,2016-01-07,0.0,0.0,0.0,0.0,,0.0,,,0.0,20160107.000000,20160107.000000,20160107.000000
2016-01-08,19489.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,4969.000000,ROMANOW CONTAINER,2016-01-08,2016-01-11,0.0,0.0,0.0,0.0,,0.0,,,0.0,20160108.000000,20160108.000000,20160111.000000
2016-01-08,19490.000000,3169.000000,5037.000000,OMYA INC.,3169.000000,CONVERDIS,2016-01-13,2016-01-14,0.0,0.0,0.0,0.0,,0.0,,,0.0,20160108.000000,20160113.000000,20160114.000000
2016-01-12,19491.000000,1424.000000,4759.000000,AIF INOX,1424.000000,CAPMATIC,2016-01-13,2016-01-13,0.0,0.0,0.0,0.0,,0.0,,,0.0,20160112.000000,20160113.000000,20160113.000000
2016-01-13,19492.000000,1424.000000,4915.000000,CN METAL,1424.000000,CAPMATIC,2016-01-14,2016-01-14,0.0,0.0,0.0,0.0,,0.0,,,0.0,20160113.000000,20160114.000000,20160114.000000
2016-01-13,19493.000000,3169.000000,3169.000000,CONVERDIS,2855.000000,CASCADES SONOCO,2016-01-14,2016-01-19,0.0,0.0,0.0,0.0,,0.0,,,0.0,20160113.000000,20160114.000000,20160119.000000
2016-01-13,19494.000000,3169.000000,5422.000000,ONVOY CORP DIV. OF BADGER PLUG COMPANY,3169.000000,CONVERDIS,2016-01-15,2016-01-18,0.0,0.0,0.0,0.0,,0.0,,,0.0,20160113.000000,20160115.000000,20160118.000000
2016-01-13,19495.000000,4948.000000,4948.000000,THEATRIXX TECHNOLOGIES,5578.000000,LEVIS STADIUM,2016-01-15,2016-01-18,0.0,0.0,0.0,0.0,,0.0,,,0.0,20160113.000000,20160115.000000,20160118.000000
2016-01-14,19496.000000,1424.000000,1424.000000,CAPMATIC,5579.000000,CALBIOTECH,2016-01-18,2016-01-25,0.0,0.0,0.0,0.0,,0.0,,,0.0,20160114.000000,20160118.000000,20160125.000000
2016-01-15,19497.000000,3755.000000,5152.000000,FILECO,3755.000000,CASCADES ENVIROPAC,2016-01-18,2016-01-19,0.0,0.0,0.0,0.0,,0.0,,,0.0,20160115.000000,20160118.000000,20160119.000000
2016-01-18,19498.000000,3169.000000,4985.000000,SONOCO AL,3169.000000,CONVERDIS,2016-01-19,2016-01-25,0.0,0.0,0.0,0.0,,0.0,,,0.0,20160118.000000,20160119.000000,20160125.000000
2016-01-19,19499.000000,1424.000000,4192.000000,SUPERIOR ALLOY,1424.000000,CAPMATIC,2016-01-20,2016-01-20,0.0,0.0,0.0,0.0,,0.0,,,0.0,20160119.000000,20160120.000000,20160120.000000
2016-01-20,19500.000000,4948.000000,4948.000000,THEATRIXX TECHNOLOGIES,5387.000000,WORLD STAGE,2016-01-20,2016-01-21,0.0,0.0,0.0,0.0,,0.0,,,0.0,20160120.000000,20160120.000000,20160121.000000
2016-01-20,19501.000000,1424.000000,4759.000000,AIF INOX,1424.000000,CAPMATIC,2016-01-25,2016-01-25,0.0,0.0,0.0,0.0,,0.0,,,0.0,20160120.000000,20160125.000000,20160125.000000
