order_date,shipment_number,bill_to_code,from_site_code,from_site_name,to_site_code,to_site_name,pickup_date,delivery_due_date,price,cost,cost1,cost2,cost3,cost4,delivered_flag,service_flag,margin,order_date_raw,pickup_date_raw,delivery_due_date_raw
2002-01-07,12404.000000,1079.000000,1079.000000,AEP CANADA,1168.000000,UNISOURCE MTL,2002-01-04,2002-01-07,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020107.000000,20020104.000000,20020107.000000
2002-01-08,12405.000000,1055.000000,1055.000000,PVC DESIGN (BALCAM INDUSTRIES INC.),1501.000000,MOULTRIE MANUFACTURING CO,2002-01-08,2002-01-11,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020108.000000,20020108.000000,20020111.000000
2002-02-27,12448.000000,2604.000000,2604.000000,HYROGLIFEX,3251.000000,ULTRA PAK,2002-02-27,2002-03-06,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020227.000000,20020227.000000,20020306.000000
2002-01-09,12406.000000,1268.000000,1329.000000,PLIANT CORP.,1268.000000,CAROUSSEL,2002-01-10,2002-01-11,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020109.000000,20020110.000000,20020111.000000
2002-01-09,12407.000000,1203.000000,1079.000000,AEP CANADA,1203.000000,EMBALLAGE GODIN CDR,2002-01-09,2002-01-10,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020109.000000,20020109.000000,20020110.000000
2002-01-10,12409.000000,1079.000000,1079.000000,AEP CANADA,1168.000000,UNISOURCE MTL,2002-01-10,2002-01-11,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020110.000000,20020110.000000,20020111.000000
2002-01-17,12410.000000,1055.000000,1055.000000,PVC DESIGN (BALCAM INDUSTRIES INC.),3188.000000,BRASS METAL,2002-01-17,2002-01-23,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020117.000000,20020117.000000,20020123.000000
2002-01-17,12411.000000,1079.000000,1079.000000,AEP CANADA,1168.000000,UNISOURCE MTL,2002-01-17,2002-01-21,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020117.000000,20020117.000000,20020121.000000
2002-01-21,12413.000000,1055.000000,1055.000000,PVC DESIGN (BALCAM INDUSTRIES INC.),3189.000000,R.P. LUMBER,2002-01-23,2002-01-25,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020121.000000,20020123.000000,20020125.000000
2002-01-24,12416.000000,1055.000000,1055.000000,PVC DESIGN (BALCAM INDUSTRIES INC.),1501.000000,MOULTRIE MANUFACTURING CO,2002-01-25,2002-01-30,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020124.000000,20020125.000000,20020130.000000
2002-01-24,12417.000000,1079.000000,1079.000000,AEP CANADA,1272.000000,UNISOURCE ST LAURENT,2002-01-24,2002-01-28,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020124.000000,20020124.000000,20020128.000000
2002-02-05,12427.000000,1079.000000,1079.000000,AEP CANADA,1273.000000,MULTIPAPER,2002-02-06,2002-02-07,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020205.000000,20020206.000000,20020207.000000
2002-01-24,12418.000000,1268.000000,1329.000000,PLIANT CORP.,1268.000000,CAROUSSEL,2002-01-25,2002-01-28,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020124.000000,20020125.000000,20020128.000000
2002-01-30,12419.000000,1203.000000,1079.000000,AEP CANADA,1203.000000,EMBALLAGE GODIN CDR,2002-01-28,2002-01-30,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020130.000000,20020128.000000,20020130.000000
2002-01-30,12420.000000,1055.000000,1055.000000,PVC DESIGN (BALCAM INDUSTRIES INC.),1501.000000,MOULTRIE MANUFACTURING CO,2002-02-01,2002-02-06,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020130.000000,20020201.000000,20020206.000000
2002-01-30,12421.000000,1079.000000,1079.000000,AEP CANADA,1168.000000,UNISOURCE MTL,2002-01-30,2002-02-01,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020130.000000,20020130.000000,20020201.000000
2002-01-31,12423.000000,1079.000000,1079.000000,AEP CANADA,3227.000000,METRO RICHELIEU,2002-01-31,2002-02-04,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020131.000000,20020131.000000,20020204.000000
2002-02-01,12424.000000,2604.000000,2604.000000,HYROGLIFEX,3348.000000,DOSKOCIL MANUFACTURING,2002-02-01,2002-02-05,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020201.000000,20020201.000000,20020205.000000
2002-02-04,12425.000000,2604.000000,2604.000000,HYROGLIFEX,3338.000000,ACM,2002-02-04,2002-02-05,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020204.000000,20020204.000000,20020205.000000
2002-02-04,12426.000000,2604.000000,2604.000000,HYROGLIFEX,3349.000000,ANDREA ARDEN,2002-02-04,2002-02-05,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020204.000000,20020204.000000,20020205.000000
2002-02-07,12429.000000,1079.000000,1079.000000,AEP CANADA,1377.000000,LEGGI TRANSPORT,2002-02-07,2002-02-08,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020207.000000,20020207.000000,20020208.000000
2002-02-08,12431.000000,1079.000000,1079.000000,AEP CANADA,1168.000000,UNISOURCE MTL,2002-02-08,2002-02-11,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020208.000000,20020208.000000,20020211.000000
2002-02-08,12433.000000,1203.000000,1079.000000,AEP CANADA,1203.000000,EMBALLAGE GODIN CDR,2002-02-11,2002-02-12,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020208.000000,20020211.000000,20020212.000000
2002-02-12,12434.000000,2604.000000,2604.000000,HYROGLIFEX,2605.000000,MAILWORKS,2002-02-12,2002-02-13,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020212.000000,20020212.000000,20020213.000000
2002-02-13,12435.000000,1268.000000,1329.000000,PLIANT CORP.,1268.000000,CAROUSSEL,2002-02-13,2002-02-14,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020213.000000,20020213.000000,20020214.000000
2002-02-13,12436.000000,1055.000000,1055.000000,PVC DESIGN (BALCAM INDUSTRIES INC.),3350.000000,84 LUMBER,2002-02-14,2002-02-14,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020213.000000,20020214.000000,20020214.000000
2002-02-13,12437.000000,1122.000000,3351.000000,SNAP ON,1122.000000,PETRO CANADA,2002-02-13,2002-02-13,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020213.000000,20020213.000000,20020213.000000
2002-02-20,12438.000000,1041.000000,1041.000000,DEMONT'S,1377.000000,LEGGI TRANSPORT,2002-02-20,2002-02-20,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020220.000000,20020220.000000,20020220.000000
2002-02-20,12439.000000,1041.000000,1377.000000,LEGGI TRANSPORT,3352.000000,ALLIANCE TRANSPORT,2002-02-25,2002-02-25,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020220.000000,20020225.000000,20020225.000000
2002-02-20,12440.000000,1079.000000,1079.000000,AEP CANADA,1168.000000,UNISOURCE MTL,2002-02-21,2002-02-22,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020220.000000,20020221.000000,20020222.000000
2002-02-21,12441.000000,1055.000000,1055.000000,PVC DESIGN (BALCAM INDUSTRIES INC.),1501.000000,MOULTRIE MANUFACTURING CO,2002-02-22,2002-02-27,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020221.000000,20020222.000000,20020227.000000
2002-02-22,12442.000000,1079.000000,1079.000000,AEP CANADA,3353.000000,GARIEPY TRANSPORT,2002-02-22,2002-02-22,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020222.000000,20020222.000000,20020222.000000
2002-02-26,12443.000000,1055.000000,1055.000000,PVC DESIGN (BALCAM INDUSTRIES INC.),3354.000000,BROOKLYN IRON WORKS,2002-02-26,2002-02-27,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020226.000000,20020226.000000,20020227.000000
2002-02-26,12444.000000,1055.000000,1055.000000,PVC DESIGN (BALCAM INDUSTRIES INC.),3356.000000,ORCHARD RIDGE C/O METRO CONSTRUCTION,2002-02-26,2002-02-27,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020226.000000,20020226.000000,20020227.000000
2002-02-26,12445.000000,1055.000000,1055.000000,PVC DESIGN (BALCAM INDUSTRIES INC.),3341.000000,MIDJERSEY SUPPLY,2002-02-26,2002-02-28,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020226.000000,20020226.000000,20020228.000000
2002-02-26,12446.000000,1203.000000,1079.000000,AEP CANADA,1203.000000,EMBALLAGE GODIN CDR,2002-02-26,2002-02-27,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020226.000000,20020226.000000,20020227.000000
2002-02-27,12447.000000,1041.000000,1377.000000,LEGGI TRANSPORT,3357.000000,LOBLAWS,2002-02-28,2002-02-28,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020227.000000,20020228.000000,20020228.000000
2002-02-28,12449.000000,1268.000000,1329.000000,PLIANT CORP.,1268.000000,CAROUSSEL,2002-03-01,2002-03-04,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020228.000000,20020301.000000,20020304.000000
2002-03-04,12450.000000,3358.000000,3358.000000,IMPRIMERIE DISTINCTION INC.,3359.000000,TDI GROUP,2002-03-04,2002-03-05,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020304.000000,20020304.000000,20020305.000000
2002-03-04,12452.000000,1079.000000,1079.000000,AEP CANADA,1168.000000,UNISOURCE MTL,2002-03-04,2002-03-05,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020304.000000,20020304.000000,20020305.000000
2002-03-04,12453.000000,1055.000000,1055.000000,PVC DESIGN (BALCAM INDUSTRIES INC.),2978.000000,SOUTHERN SUPPLY,2002-03-05,2002-03-08,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020304.000000,20020305.000000,20020308.000000
2002-03-07,12454.000000,1055.000000,1055.000000,PVC DESIGN (BALCAM INDUSTRIES INC.),1501.000000,MOULTRIE MANUFACTURING CO,2002-03-08,2002-03-13,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020307.000000,20020308.000000,20020313.000000
2002-03-08,12455.000000,1203.000000,1079.000000,AEP CANADA,1203.000000,EMBALLAGE GODIN CDR,2002-03-08,2002-03-11,0.0,0.0,0.0,0.0,,0.0,,,0.0,20020308.000000,20020308.000000,20020311.000000
