Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
Report Period: 01/01/2024	12/31/2024			
				---- Home Cur ----
Order No Req P/U	Customer	Origin Destination	Revenue	Cost Margin
22656 22/11/2024	DEXTER	LONGUEUIL,PQ BRANTFORD,ON	975.00 CA	800.00 175.00
22657 25/11/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,050.00 CA	850.00 200.00
22658 25/11/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,050.00 CA	850.00 200.00
22659 27/11/2024	CAPMATIC	MONTREAL-NORD,PLQAS VEGAS,NV	7,250.00 CA	6,500.00 750.00
22661 26/11/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	225.00 CA	130.00 95.00
22662 07/12/2024	CAPMATIC	LAS VEGAS,NV MONTREAL-NORD,PQ	8,495.00 CA	7,300.00 1,195.00
22663 26/11/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,200.00 CA	1,000.00 200.00
22664 26/11/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,200.00 CA	1,000.00 200.00
22665 03/12/2024	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,300.00 CA	1,100.00 200.00
22666 29/11/2024	SCOTTS CANADA LTD	SAINT CATHARINESST-BONAVENTURE	1,350.00 CA	1,000.00 350.00
22667 03/12/2024	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,300.00 CA	1,100.00 200.00
22668 05/12/2024	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,300.00 CA	1,100.00 200.00
22669 03/12/2024	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,300.00 CA	1,100.00 200.00
22670 04/12/2024	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,300.00 CA	1,100.00 200.00
