Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
Report Period: 01/01/2023	12/31/2023			
				---- Home Cur ----
Order No Req P/U	Customer	Origin Destination	Revenue	Cost Margin
21998 18/12/2023	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ	750.00 CA	550.00 200.00
21999 12/12/2023	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,150.00 CA	900.00 250.00
22000 12/12/2023	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ	695.00 CA	425.00 270.00
22001 12/12/2023	CAPMATIC	DORVAL,PQ MONTREAL-NORD,PQ	150.00 CA	100.00 50.00
22002 12/12/2023	EMBALLAGES AT	HELENA,AL MIRABEL,PQ	890.00 CA	650.00 240.00
22003 14/12/2023	SCOTTS CANADA LTD	ST-BONAVENTURE MIRAMICHI,NB	650.00 CA	525.00 125.00
22004 14/12/2023	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,150.00 CA	900.00 250.00
22006 18/12/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,200.00 CA	900.00 300.00
22007 20/12/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22008 15/12/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	150.00 CA	100.00 50.00
22009 15/12/2023	CAPMATIC	DORVAL,PQ MONTREAL-NORD,PQ	150.00 CA	100.00 50.00
22010 19/12/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22011 15/12/2023	CAPMATIC	MONTREAL-NORD,PTQERREBONNE,PQ	240.00 CA	130.00 110.00
22012 21/12/2023	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,150.00 CA	900.00 250.00
22013 20/12/2023	THEATRIXX TECHNOLOGIES	LATERRIÈRE,PQ MONTREAL,PQ	590.00 CA	269.69 320.31
22014 22/12/2023	THEATRIXX TECHNOLOGIES	DROVAL,PQ MONTREAL,PQ	0.00 CA	0.00 0.00
22015 23/12/2023	THEATRIXX TECHNOLOGIES	MONTREAL,PQ DROVAL,PQ	0.00 CA	0.00 0.00
22016 23/12/2023	THEATRIXX TECHNOLOGIES	MONTREAL,PQ LATERRIÈRE,PQ	850.00 CA	457.19 392.81
		Grand Total:	299,573.50 CA	233,105.27 66,468.23
			0.00 US	
