Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 4
Report Period: 01/01/2023	12/31/2023		
			---- Home Cur ----
Order No Req P/U	Customer	Origin Destination Revenue	Cost Margin
21741 02/01/2023	CRISTAL IINOVATION	ST-BRUNO-DE-MONTSATR-BVRILULNEO-DE-MONTARV1I,L0L2E7.50 CA	0.00 1,027.50
21742 04/01/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	115.00 35.00
21743 03/01/2023	EMBALLAGES AT	MIRABEL,PQ ST-JUST DE BRETENIER1E,S285.00 CA	1,045.00 240.00
21744 06/01/2023	EMBALLAGES AT	MIRABEL,PQ ST-EPHREM DE BEAUCE 950.00 CA	725.00 225.00
21745 06/01/2023	EMBALLAGES AT	MIRABEL,PQ SAINT-PAMPHILE,PQ 775.00 CA	625.00 150.00
21746 10/01/2023	THEATRIXX TECHNOLOGIES	DORVAL,PQ MONTREAL,PQ 150.00 CA	115.00 35.00
21747 17/01/2023	EMBALLAGES AT	MIRABEL,PQ LA SARRE,PQ 795.00 CA	650.00 145.00
21748 16/01/2023	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ 600.00 CA	300.00 300.00
21749 26/01/2023	CAPMATIC	MONTREAL-NORD,PAQNAHEIM,CA 8,850.00 CA	7,770.00 1,080.00
21750 23/01/2023	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ 800.00 CA	650.00 150.00
21751 20/01/2023	CAPMATIC	DORVAL,PQ MONTREAL-NORD,PQ 150.00 CA	115.00 35.00
21752 23/01/2023	CAPMATIC	MONTREAL-NORD,PTQERREBONNE,PQ 275.00 CA	160.00 115.00
21753 25/01/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 225.00 CA	145.00 80.00
21754 30/01/2023	CAPMATIC	MONTREAL-NORD,PMQT PROSPECT,IL 750.00 CA	500.00 250.00
21755 01/02/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	115.00 35.00
21756 09/02/2023	EMBALLAGES AT	MIRABEL,PQ LA SARRE,PQ 815.00 CA	650.00 165.00
21757 15/02/2023	EMBALLAGES AT	MIRABEL,PQ WEST BRANCH,NB 650.00 CA	575.00 75.00
21758 16/02/2023	CAPMATIC	MONTREAL-NORD,PBQOUCHERVILLE,PQ 225.00 CA	145.00 80.00
21759 16/02/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 575.00 CA	400.00 175.00
21760 20/02/2023	CAPMATIC	MONTREAL-NORD,PTQERREBONNE,PQ 175.00 CA	115.00 60.00
21761 24/02/2023	CAPMATIC	LAVAL,PQ MONTREAL-NORD,PQ 150.00 CA	75.00 75.00
21762 28/02/2023	CAPMATIC	CYPRESS,CA MONTREAL-NORD,PQ 8,150.00 CA	7,200.00 950.00
21763 01/03/2023	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ 800.00 CA	650.00 150.00
21764 07/03/2023	SCOTTS CANADA LTD	ST-BONAVENTURE SAINT CATHARINES 1,600.00 CA	1,450.00 150.00
21765 07/03/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 405.00 CA	235.00 170.00
21766 09/03/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,400.00 CA	1,100.00 300.00
21767 08/03/2023	SCOTTS CANADA LTD	LACHINE,PQ DELHI,ON 1,000.00 CA	850.00 150.00
21768 09/03/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,100.00 200.00
21769 10/03/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,400.00 CA	1,100.00 300.00
21770 10/03/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,500.00 CA	1,200.00 300.00
21771 10/03/2023	EMBALLAGES AT	MIRABEL,PQ SAINT-HONORÉ-DE 450.00 CA	300.00 150.00
