Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
Report Period: 01/01/2022	12/31/2022			
				---- Home Cur ----
Order No Req P/U	Customer	Origin Destination	Revenue	Cost Margin
21715 21/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
21718 22/11/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	150.00 CA	115.00 35.00
21719 22/11/2022	EMBALLAGES AT	MIRABEL,PQ SAINT-QUENTIN,NB	625.00 CA	550.00 75.00
21720 28/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,600.00 CA	1,200.00 400.00
21721 29/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,000.00 400.00
21722 30/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,500.00 CA	1,200.00 300.00
21723 01/12/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,500.00 CA	1,200.00 300.00
21725 29/11/2022	CAPMATIC	TERREBONNE,PQ MONTREAL-NORD,PQ	350.00 CA	250.00 100.00
21726 30/11/2022	EMBALLAGES AT	MIRABEL,PQ SAINT-HONORÉ-DE	1,025.00 CA	850.00 175.00
21727 30/11/2022	THEATRIXX TECHNOLOGIES	ST-LAURENT,PQ MONTREAL,PQ	150.00 CA	115.00 35.00
21728 30/11/2022	CAPMATIC	MONTREAL-NORD,PLQINDEN,NJ	3,450.00 CA	2,600.00 850.00
21729 05/12/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,500.00 CA	1,200.00 300.00
21730 06/12/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
21731 07/12/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
21732 06/12/2022	THEATRIXX TECHNOLOGIES	ST-LAURENT,PQ MONTREAL,PQ	150.00 CA	115.00 35.00
21733 06/12/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	150.00 CA	115.00 35.00
21735 13/12/2022	CAPMATIC	LAVAL,PQ MONTREAL-NORD,PQ	150.00 CA	115.00 35.00
21736 15/12/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
21737 15/12/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	465.00 CA	265.00 200.00
21738 16/12/2022	SCOTTS CANADA LTD	L'ORIGNAL,ON ST-BONAVENTURE	625.00 CA	425.00 200.00
21739 20/12/2022	CAPMATIC	MONTREAL-NORD,PTQERREBONNE,PQ	275.00 CA	160.00 115.00
21740 21/12/2022	CAPMATIC	MONTREAL-NORD,PLQONDON,ON	2,250.00 CA	1,650.00 600.00
		Grand Total:	406,480.76 CA	325,436.20 81,044.55
			0.00 US	
