order_no	req_pu_date	customer	origin	destination	revenue	cost	margin
	MIRABEL,PQ AMOS,PQ 700.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MIRABEL,PQ ST-JUST DE BRETENIERES685.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MIRAMICHI,NB ST-BONAVENTURE 1,500.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MIRABEL,PQ BELLEDUNE,NB 1,035.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MIRABEL,PQ MORROW,GA 2,350.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	ATLANTA,GA MIRABEL,PQ 4,850.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MIRABEL,PQ AMOS,PQ 750.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	WINNIPEG,MB LACHINE,PQ 1,025.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 250.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	LACHINE,PQ WINNIPEG,MB 725.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	DELHI,ON L'ORIGNAL,ON 1,200.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MIRAMICHI,NB ST-BONAVENTURE 1,500.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MIRABEL,PQ HIALEAH,FL 745.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	L'ORIGNAL,ON DELHI,ON 305.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	TABUSINTAC,NB ST-BONAVENTURE 1,190.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	DELHI,ON L'ORIGNAL,ON 1,200.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	DELHI,ON GATINEAU,PQ 1,125.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MIRAMICHI,NB L'ORIGNAL,ON 1,350.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MIRAMICHI,NB L'ORIGNAL,ON 1,350.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MIRAMICHI,NB L'ORIGNAL,ON 1,350.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MIRAMICHI,NB L'ORIGNAL,ON 1,350.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	LACHINE,PQ MONTREAL-NORD,PQ 150.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	DELHI,ON L'ORIGNAL,ON 1,250.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	BROOKLYN PARK,MMNIRABEL,PQ 1,725.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MONTREAL-NORD,PPQAMONA,CA 7,800.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MONTREAL-NORD,PHQEBRON,KY 3,800.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MONTREAL-NORD,PHQEBRON,KY 5,800.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MONTREAL-NORD,PHQEBRON,KY 5,800.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MONTREAL-NORD,PHQEBRON,KY 5,800.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	LACHINE,PQ DELHI,ON 1,200.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	LACHINE,PQ WINNIPEG,MB 1,850.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	DELHI,ON ROCKY VIEW,AB 1,195.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	MONTREAL-NORD,PSQT-LAURENT,PQ 150.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	NOTRE-DAME-DES- ST-BONAVENTURE 795.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	DELHI,ON ROCKY VIEW,AB 625.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	DELHI,ON ST-BONAVENTURE 2,150.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	DELHI,ON ST-BONAVENTURE 2,150.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	DELHI,ON ST-BONAVENTURE 2,150.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	ST-LAURENT,PQ MONTREAL-NORD,PQ 225.00 CA	<NA>	<NA>	<NA>	0.0	0.0	0.0
	DELHI,ON ST-BONAVENTURE	<NA>	<NA>	<NA>	0.0	0.0	0.0
